ip_address,username,password,timestamp,ip_encoded,anomaly,attempts,unique_usernames,unique_passwords,is_default_cred,risk_score,severity
127.0.0.1,-,ls,2025-05-31 13:57:27.414644,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,pwd,2025-05-31 13:57:27.414650,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,pwd,2025-05-31 13:57:27.414652,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,pwd,2025-05-31 13:57:27.414654,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,pwd,2025-05-31 13:57:27.414655,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414658,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,file1.txt,2025-05-31 13:57:27.414660,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,notes.txt,2025-05-31 13:57:27.414661,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414663,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,pwd,2025-05-31 13:57:27.414664,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,/etc,2025-05-31 13:57:27.414666,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,pwd,2025-05-31 13:57:27.414667,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414668,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,passwd,2025-05-31 13:57:27.414670,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414671,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,shadow,2025-05-31 13:57:27.414673,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,hosts,2025-05-31 13:57:27.414674,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414676,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,-la,2025-05-31 13:57:27.414677,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,hello,2025-05-31 13:57:27.414681,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414682,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,hello,2025-05-31 13:57:27.414684,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,world,2025-05-31 13:57:27.414686,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,hello,2025-05-31 13:57:27.414688,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414689,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,file1.txt,2025-05-31 13:57:27.414691,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,hll,2025-05-31 13:57:27.414693,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414695,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,cd,2025-05-31 13:57:27.414696,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,pwd,2025-05-31 13:57:27.414697,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,whoami,2025-05-31 13:57:27.414698,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,secrets,2025-05-31 13:57:27.414701,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,secreta,2025-05-31 13:57:27.414702,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,secrets,2025-05-31 13:57:27.414704,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,secrets,2025-05-31 13:57:27.414705,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,..,2025-05-31 13:57:27.414707,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,touch,2025-05-31 13:57:27.414708,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,hll.txt,2025-05-31 13:57:27.414710,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,kal,2025-05-31 13:57:27.414712,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414713,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,kal,2025-05-31 13:57:27.414714,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,kal,2025-05-31 13:57:27.414716,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,lslsls,2025-05-31 13:57:27.414717,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414720,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,pwd,2025-05-31 13:57:27.414721,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,clear,2025-05-31 13:57:27.414722,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,cls,2025-05-31 13:57:27.414724,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,cls,2025-05-31 13:57:27.414725,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,clear,2025-05-31 13:57:27.414726,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,logout,2025-05-31 13:57:27.414727,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,logiut,2025-05-31 13:57:27.414728,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,logout,2025-05-31 13:57:27.414730,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414735,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,crets,2025-05-31 13:57:27.414737,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,secrets,2025-05-31 13:57:27.414738,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414739,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414740,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,..,2025-05-31 13:57:27.414742,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414743,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,secrets,2025-05-31 13:57:27.414744,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414746,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,notes.txt,2025-05-31 13:57:27.414747,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414749,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,pa,2025-05-31 13:57:27.414751,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414752,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,pa,2025-05-31 13:57:27.414754,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,ls,2025-05-31 13:57:27.414755,7,1,193,23,56,False,295,CRITICAL
127.0.0.1,-,secrets,2025-05-31 13:57:27.414756,7,1,193,23,56,False,295,CRITICAL
